Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
10:21:31, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.065079, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.077516, 0.075191, 0.000000, 0.000000, 14.941693, 1.854679, 3.315228, 22.153625, 35.226387, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
10:21:31, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.054886, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.076652, 0.074446, 0.000000, 0.000000, 14.941693, 1.854679, 3.315228, 22.153625, 35.226387, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
10:21:31, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.054672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.073940, 0.075519, 0.000000, 0.000000, 14.941693, 1.854679, 3.315228, 22.153625, 35.226387, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
10:21:31, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.069870, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.073344, 0.076532, 0.000000, 0.000000, 14.941693, 1.854679, 3.315228, 22.153625, 35.226387, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
10:21:32, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.060226, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.073850, 0.075996, 0.000000, 0.000000, 14.941693, 1.854679, 3.315228, 22.153625, 35.226387, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
10:21:32, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.070496, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.076860, 0.075608, 0.000000, 0.000000, 14.942069, 1.854709, 3.315403, 22.153625, 35.226387, 0.000000, 0.000000, 33.167862, 0, 0, 99.999992
10:21:32, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.077499, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.072867, 0.075251, 0.000000, 0.000000, 14.942069, 1.854709, 3.315403, 22.153625, 35.226387, 0.000000, 0.000000, 33.167862, 0, 0, 99.999992
10:21:32, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.063171, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.070632, 0.075877, 0.000000, 0.000000, 14.942069, 1.854709, 3.315403, 22.153625, 35.226387, 0.000000, 0.000000, 33.167862, 0, 0, 99.999992
10:21:33, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.068207, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.075072, 0.075936, 0.000000, 0.000000, 14.942069, 1.854709, 3.315403, 22.153625, 35.226387, 0.000000, 0.000000, 33.167862, 0, 0, 99.999992
10:21:33, 0x40, 0x0, 0.000000, 4000.000000, 1.000000, 0.000000, 144.058670, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 45316.679688, 5.312679, 0.000000, 0.078022, 0.075340, 0.000000, 0.000000, 14.941342, 1.854612, 3.315049, 22.153625, 35.237656, 0.000000, 0.000000, 33.178642, 0, 0, 99.999992
