Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
14:38:42, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.687973, 9.165627, 13.983731, 476.910004, 12.282658, 11.100000, 75208.531250, 11.569560, 31.593264, -1.688719, 34.922359, 0.000358, 16.564787, 14.753031, 1.858873, 3.305607, 39.614075, 42.459061, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:42, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.585846, 12.834996, 13.954915, 475.927246, 12.408668, 10.995108, 75208.531250, 11.569560, 31.528919, -1.702070, 35.696922, 0.001073, 16.621756, 14.753031, 1.858873, 3.305607, 39.614075, 42.459061, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:42, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 143.989822, 9.417236, 13.913636, 474.519440, 12.364268, 11.124372, 75222.531250, 11.572526, 31.434238, -1.669615, 34.756390, -0.014931, 16.588192, 14.753240, 1.858992, 3.305311, 39.614075, 42.482674, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:42, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.940170, 10.272002, 13.894876, 473.879639, 12.305993, 11.048895, 75222.531250, 11.572526, 31.395763, -1.705378, 35.005867, -0.018418, 16.508888, 14.753240, 1.858992, 3.305311, 39.614075, 42.482674, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:43, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.288330, 12.388659, 13.849825, 472.343170, 12.423992, 11.018515, 75222.531250, 11.572526, 31.295300, -1.763105, 35.455643, 0.013143, 16.592306, 14.753240, 1.858992, 3.305311, 39.614075, 42.482674, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:43, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.233612, 8.640146, 13.851589, 472.403351, 12.388319, 11.026544, 75222.531250, 11.572526, 31.294674, -1.661390, 34.421352, 0.008404, 16.572762, 14.753240, 1.858992, 3.305311, 39.614075, 42.482674, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:43, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.943527, 11.683202, 13.838080, 471.942627, 12.476778, 11.064184, 75222.531250, 11.572526, 31.263262, -1.671374, 35.174099, -0.019616, 16.679924, 14.753240, 1.858992, 3.305311, 39.614075, 42.482674, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:43, 0x0, 0x2, 0.000000, 0.000000, 1.000000, 0.000000, 144.051193, 11.202067, 13.781586, 470.015900, 12.363839, 10.968483, 75236.390625, 11.575504, 31.135649, -1.666903, 34.911274, 0.033152, 16.531830, 14.753955, 1.858909, 3.305608, 39.614075, 42.506287, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:44, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.542725, 8.717913, 13.829188, 471.639374, 12.390268, 11.102414, 75236.390625, 11.575504, 31.246304, -1.669586, 34.427822, -0.043899, 16.595829, 14.753955, 1.858909, 3.305608, 39.614075, 42.506287, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:44, 0x0, 0x2, 0.234915, 4000.000000, 1.000000, 0.000000, 144.775055, 12.541884, 13.796535, 470.525726, 12.310356, 11.117864, 75236.390625, 11.575504, 31.170635, -1.695067, 35.336525, -0.015628, 16.604822, 14.753955, 1.858909, 3.305608, 39.614075, 42.506287, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:44, 0x0, 0x2, 0.232881, 4000.000000, 1.000000, 0.000000, 143.993286, 9.937119, 13.769262, 469.595612, 12.290955, 11.049146, 75236.390625, 11.575504, 31.107693, -1.641124, 34.520386, 0.026393, 16.564768, 14.753955, 1.858909, 3.305608, 39.614075, 42.506287, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:44, 0x0, 0x2, 0.235593, 4000.000000, 1.000000, 0.000000, 144.494736, 12.612695, 13.770342, 469.632446, 12.330598, 11.118114, 75236.390625, 11.575504, 31.111568, -1.641124, 34.520386, -0.019008, 16.630215, 14.754652, 1.858909, 3.305608, 39.614075, 42.506287, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:44, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.113983, 8.912426, 13.743146, 468.704926, 12.371421, 11.066848, 75250.171875, 11.578484, 31.049519, -1.661956, 34.284561, 0.024158, 16.576088, 14.754652, 1.858939, 3.305979, 39.614075, 42.518097, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:45, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.113983, 8.912426, 13.755971, 469.142303, 12.313181, 11.118346, 75250.171875, 11.578484, 31.083525, -1.726866, 34.907520, 0.024158, 16.576088, 14.754652, 1.858939, 3.305979, 39.614075, 42.518097, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:45, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.210693, 11.823803, 13.739586, 468.583527, 12.383562, 10.982430, 75250.171875, 11.578484, 31.039566, -1.615912, 34.917355, -0.005436, 16.552412, 14.754652, 1.858939, 3.305979, 39.614075, 42.518097, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:45, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.382050, 8.510238, 13.755662, 469.131775, 12.286573, 11.118114, 75250.171875, 11.578484, 31.075180, -1.619041, 34.201504, -0.016594, 16.576195, 14.754652, 1.858939, 3.305979, 39.614075, 42.518097, 0.000000, 0.000000, 39.326530, 0, 0, 99.999992
14:38:45, 0x0, 0x2, 0.235932, 4000.000000, 1.000000, 0.000000, 144.935760, 11.924672, 13.727026, 468.155182, 12.346029, 10.989011, 75263.914063, 11.581436, 31.012564, -1.705319, 35.027058, 0.018221, 16.561800, 14.754140, 1.858866, 3.305665, 39.614075, 42.459061, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:45, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.031815, 10.573393, 13.691876, 466.956421, 12.245912, 11.050844, 75263.914063, 11.581436, 30.938892, -1.695722, 34.616947, 0.004292, 16.518562, 14.754140, 1.858866, 3.305665, 39.614075, 42.459061, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:46, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.730530, 8.908528, 13.722630, 468.005249, 12.365145, 11.056656, 75263.914063, 11.581436, 30.998348, -1.564741, 34.157604, -0.063139, 16.559029, 14.754140, 1.858866, 3.305665, 39.614075, 42.459061, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:46, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.679001, 12.613911, 13.706376, 467.450928, 12.332994, 11.033588, 75263.914063, 11.581436, 30.967592, -1.695394, 35.144985, -0.013286, 16.601372, 14.754140, 1.858866, 3.305665, 39.614075, 42.459061, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:46, 0x0, 0x2, 0.234915, 4000.000000, 1.000000, 0.000000, 144.048264, 9.384120, 13.703176, 467.341736, 12.223989, 11.079687, 75263.914063, 11.581436, 30.961065, -1.680910, 34.330486, -0.009835, 16.512537, 14.754140, 1.858866, 3.305665, 39.614075, 42.459061, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:46, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.946396, 10.013474, 13.696653, 467.119293, 12.412763, 11.026293, 75277.632813, 11.584340, 30.944853, -1.705050, 34.521072, 0.025964, 16.604876, 14.753985, 1.859018, 3.305657, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:46, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.374313, 12.322354, 13.696294, 467.107056, 12.350374, 11.003655, 75277.632813, 11.584340, 30.946075, -1.724243, 35.054771, 0.000089, 16.572582, 14.753985, 1.859018, 3.305657, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:47, 0x0, 0x2, 0.232881, 4000.000000, 1.000000, 0.000000, 144.246933, 8.635694, 13.745705, 468.792206, 12.282658, 11.092991, 75277.632813, 11.584340, 31.053871, -1.625478, 34.161774, -0.034243, 16.528522, 14.753985, 1.859018, 3.305657, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:47, 0x0, 0x2, 0.234915, 4000.000000, 1.000000, 0.000000, 145.010056, 11.386371, 13.719625, 467.902771, 12.375105, 10.979980, 75277.632813, 11.584340, 30.998796, -1.712024, 34.958420, 0.012553, 16.562569, 14.753985, 1.859018, 3.305657, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:47, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.116486, 11.346496, 13.712047, 467.644318, 12.252045, 11.105794, 75277.632813, 11.584340, 30.980349, -1.674920, 34.800438, 0.014627, 16.553413, 14.753985, 1.859018, 3.305657, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:47, 0x0, 0x2, 0.234915, 4000.000000, 1.000000, 0.000000, 144.530136, 8.631044, 13.760057, 469.281708, 12.373603, 11.086464, 75291.351563, 11.587234, 31.084686, -1.622587, 34.200279, -0.007653, 16.654837, 14.754852, 1.859118, 3.305410, 39.614075, 42.447250, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:47, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.530136, 8.631044, 13.760057, 469.281708, 12.373603, 11.086464, 75291.351563, 11.587234, 31.084686, -1.622587, 34.200279, -0.007653, 16.654837, 14.754852, 1.859118, 3.305410, 39.614075, 42.447250, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:48, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 143.995544, 10.100394, 13.759709, 469.269806, 12.288774, 11.003655, 75291.351563, 11.587234, 31.092793, -1.661748, 34.589439, 0.001162, 16.537731, 14.754852, 1.859118, 3.305410, 39.614075, 42.447250, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:48, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.793030, 9.402019, 13.781896, 470.026459, 12.483448, 11.106044, 75291.351563, 11.587234, 31.134308, -1.659274, 34.517376, 0.026572, 16.696537, 14.754852, 1.859118, 3.305410, 39.614075, 42.447250, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:48, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.534561, 12.647223, 13.791123, 470.341187, 12.388981, 11.070228, 75291.351563, 11.587234, 31.157642, -1.681924, 35.315720, 0.001734, 16.570007, 14.754852, 1.859118, 3.305410, 39.614075, 42.447250, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:48, 0x0, 0x2, 0.232881, 4000.000000, 1.000000, 0.000000, 144.094437, 9.067761, 13.824533, 471.480591, 12.321461, 11.067331, 75305.132813, 11.590158, 31.233906, -1.670211, 34.503609, -0.024855, 16.527431, 14.754858, 1.859088, 3.305820, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:48, 0x0, 0x2, 0.235254, 4000.000000, 1.000000, 0.000000, 144.985367, 10.688925, 13.824558, 471.481476, 12.297714, 11.108459, 75305.132813, 11.590158, 31.238049, -1.777351, 35.035908, 0.001091, 16.568344, 14.754858, 1.859088, 3.305820, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:49, 0x0, 0x2, 0.234576, 4000.000000, 1.000000, 0.000000, 144.226791, 12.062091, 13.825339, 471.508118, 12.278509, 11.060786, 75305.132813, 11.590158, 31.239807, -1.768649, 35.340309, 0.012946, 16.529577, 14.754858, 1.859088, 3.305820, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:49, 0x0, 0x2, 0.234237, 4000.000000, 1.000000, 0.000000, 144.342957, 8.597445, 13.904610, 474.211609, 12.323856, 11.105561, 75305.132813, 11.590158, 31.414091, -1.647413, 34.502953, -0.063461, 16.556471, 14.754858, 1.859088, 3.305820, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:49, 0x0, 0x2, 0.232881, 4000.000000, 1.000000, 0.000000, 144.933334, 12.000060, 13.903050, 474.158417, 12.415356, 11.118597, 75305.132813, 11.590158, 31.408161, -1.670807, 35.403370, -0.011748, 16.641872, 14.754858, 1.859088, 3.305820, 39.614075, 42.482674, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
14:38:49, 0x0, 0x2, 0.233898, 4000.000000, 1.000000, 0.000000, 144.025955, 10.890860, 13.903365, 474.169128, 12.196308, 10.930037, 75319.007813, 11.593125, 31.415939, -1.748741, 35.193233, 0.014591, 16.404390, 14.754928, 1.858977, 3.305882, 39.614075, 42.518097, 0.000000, 0.000000, 39.337753, 0, 0, 99.999992
