Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
10:07:16, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 138.068405, 12.233895, 22.610558, 771.124695, 12.339073, 9.968752, 34240.859375, 4.087086, 51.239876, -2.204865, 54.050354, -0.024551, 16.037088, 14.756645, 1.859007, 3.306172, 35.949852, 38.472435, 0.000000, 0.000000, 35.098953, 0, 0, 99.999992
10:07:17, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 138.613724, 15.783853, 22.538740, 768.675415, 12.476134, 10.141325, 34240.859375, 4.087086, 51.082340, -2.295643, 54.935066, 0.002038, 16.275572, 14.756645, 1.859007, 3.306172, 35.949852, 38.472435, 0.000000, 0.000000, 35.098953, 0, 0, 99.999992
10:07:17, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 137.064301, 16.255527, 22.525879, 768.236816, 13.671792, 11.239511, 34240.859375, 4.087086, 51.049202, -2.473384, 54.607658, -0.013787, 17.896484, 14.756645, 1.859007, 3.306172, 35.949852, 38.472435, 0.000000, 0.000000, 35.098953, 0, 0, 99.999992
10:07:17, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 137.716385, 14.039665, 22.493591, 767.135620, 13.814074, 11.411923, 34263.445313, 4.091166, 50.977974, -2.538115, 54.179340, 0.004917, 18.119144, 14.756189, 1.858954, 3.306017, 35.949852, 38.472435, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:17, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 137.745438, 18.333435, 22.464857, 766.155640, 13.694519, 11.409813, 34263.445313, 4.091166, 50.912857, -2.470881, 55.091263, 0.011122, 18.073868, 14.756189, 1.858954, 3.306017, 35.949852, 38.472435, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:17, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 137.010986, 14.729136, 22.430462, 764.982666, 13.691979, 11.342382, 34263.445313, 4.091166, 50.838917, -2.490192, 54.051456, 0.014198, 18.009924, 14.756189, 1.858954, 3.306017, 35.949852, 38.472435, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:18, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 138.007660, 15.262628, 22.384821, 763.426086, 13.788414, 11.441034, 34263.445313, 4.091166, 50.729126, -2.456218, 54.246395, 0.024319, 18.150473, 14.756189, 1.858954, 3.306017, 35.949852, 38.472435, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:18, 0x0, 0x2, 0.286441, 4000.000000, 1.000000, 0.000000, 137.384537, 18.162167, 22.372675, 763.011841, 13.810372, 11.283339, 34263.445313, 4.091166, 50.706745, -2.470612, 54.800598, 0.019616, 18.075155, 14.756189, 1.858954, 3.306017, 35.949852, 38.472435, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:18, 0x0, 0x2, 0.255593, 4000.000000, 1.000000, 0.000000, 137.249313, 13.734323, 22.341702, 761.955505, 13.785696, 11.308032, 34285.855469, 4.095577, 50.630985, -2.428770, 53.598701, 0.021565, 18.035120, 14.756472, 1.858990, 3.306560, 35.949852, 38.483948, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
10:07:18, 0x0, 0x2, 0.255593, 4000.000000, 1.000000, 0.000000, 138.099960, 16.848831, 22.329876, 761.552185, 13.771677, 11.436582, 34285.855469, 4.095577, 50.604702, -2.427548, 54.551094, -0.007188, 18.114208, 14.756472, 1.858990, 3.306560, 35.949852, 38.483948, 0.000000, 0.000000, 35.109871, 0, 0, 99.999992
