Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
14:13:04, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.600647, -1.749945, 4.124234, 140.655487, 13.086194, 13.092327, 65349.296875, 7.683476, 9.302855, -0.416607, 5.564421, -0.008798, -18.432711, 14.928807, 1.854360, 3.316482, 22.153625, 38.139015, 0.000000, 0.000000, 36.822548, 0, 0, 99.999992
14:13:04, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.574814, -0.903171, 3.836115, 130.829300, 13.157111, 12.966979, 65353.625000, 7.683081, 8.657307, -0.376165, 5.021244, 0.006258, -18.436699, 14.928543, 1.854509, 3.316575, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:04, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.730377, -1.196784, 3.867558, 131.901642, 12.694162, 13.209003, 65353.625000, 7.683081, 8.718520, -0.407904, 4.900634, -0.013554, -18.480024, 14.928543, 1.854509, 3.316575, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:05, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.459183, -1.312262, 3.777450, 128.828552, 12.665391, 13.295012, 65353.625000, 7.683081, 8.499950, -0.435412, 4.363656, -0.008476, -18.433212, 14.928543, 1.854509, 3.316575, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:05, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.608749, -0.696480, 3.681253, 125.547768, 13.149172, 12.898744, 65353.625000, 7.683081, 8.298784, -0.382125, 4.533499, -0.004810, -18.483028, 14.928543, 1.854509, 3.316575, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:05, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.614059, -1.249069, 3.565482, 121.599464, 12.985987, 13.279671, 65353.625000, 7.683081, 8.043438, -0.351518, 4.326761, -0.006706, -18.488018, 14.928543, 1.854509, 3.316575, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:05, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.401474, -1.030844, 3.494258, 119.170364, 13.132435, 13.244480, 65357.285156, 7.682778, 7.879585, -0.367343, 4.054457, -0.010711, -18.541822, 14.928342, 1.854557, 3.316558, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:05, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.562622, -0.645357, 3.364876, 114.757866, 12.678731, 13.327056, 65357.285156, 7.682778, 7.586688, -0.361383, 3.811121, -0.002253, -18.435072, 14.928342, 1.854557, 3.316558, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:06, 0x40, 0x2, 0.172542, 4000.000000, 1.000000, 0.000000, 147.426483, -0.883520, 3.286267, 112.076912, 12.635082, 12.886262, 65357.285156, 7.682778, 7.421792, -0.231922, 2.451569, 0.028127, -17.821150, 14.928342, 1.854557, 3.316558, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
14:13:06, 0x40, 0x2, 0.262012, 0.000000, 1.000000, 0.000000, 147.337784, -0.457442, 3.104014, 105.861244, 13.141608, 13.016314, 65357.285156, 7.682778, 6.979674, -0.201404, 2.374232, 0.053304, -18.118999, 14.928342, 1.854557, 3.316558, 22.153625, 38.139015, 0.000000, 0.000000, 36.833588, 0, 0, 99.999992
