Time, Errors, Limiters, Current SP, Velocity SP, Idc SP, misc SP, Bus Voltage (V), Bus Current (A), Velocity (m/s), Motor RPM, pC Current (A), pB Current (A), Odometer (m), Bus Charge (Ah), BEMF (V), VoutD (V), VoutQ (V), IoutD (A), IoutQ (A), 15V Rail (V), 1.9V Rail (V), 3.3V Rail (V), Motor Temp (C), DSP Temp (C), Phase A Temp (C), Phase B Temp (C), Phase C Temp (C), CAN Trans Errs, CAN Recv Errs, Slip Speed (Hz)
13:20:29, 0x40, 0x2, 0.208475, 4000.000000, 1.000000, 0.000000, 126.477036, 9.513831, 22.658243, 759.193970, 9.320765, 11.407453, 31649.302734, 3.206634, 49.941540, 1.946509, 52.303791, -0.016469, 14.793563, 14.928527, 1.855265, 3.316466, 22.153625, 40.931717, 0.000000, 0.000000, 40.565483, 0, 0, 99.999992
13:20:29, 0x40, 0x2, 0.210847, 4000.000000, 1.000000, 0.000000, 126.493629, 11.827988, 22.667122, 759.491455, 9.348642, 11.391216, 31649.302734, 3.206634, 49.964367, 1.975238, 52.911312, 0.004971, 14.783925, 14.928527, 1.855265, 3.316466, 22.153625, 40.931717, 0.000000, 0.000000, 40.565483, 0, 0, 99.999992
13:20:29, 0x40, 0x2, 0.211525, 4000.000000, 1.000000, 0.000000, 126.971275, 10.633529, 22.689653, 760.246399, 9.330546, 11.433524, 31649.302734, 3.206634, 50.009399, 1.923501, 52.763371, -0.005507, 14.790076, 14.928527, 1.855265, 3.316466, 22.153625, 40.931717, 0.000000, 0.000000, 40.565483, 0, 0, 99.999992
13:20:29, 0x40, 0x2, 0.057558, 0.000000, 1.000000, 0.000000, 126.256882, 9.961403, 22.683435, 760.038086, 9.439445, 11.444074, 31671.976563, 3.209609, 49.997448, 1.971036, 52.418411, 0.011569, 14.888692, 14.928100, 1.855353, 3.316431, 22.153625, 40.943413, 0.000000, 0.000000, 40.576797, 0, 0, 99.999992
13:20:30, 0x40, 0x2, 0.057558, 0.000000, 1.000000, 0.000000, 132.564423, -1.597863, 22.585058, 756.741821, 3.899074, 3.689110, 31671.976563, 3.209609, 49.781380, -0.299543, 47.871170, -0.006026, -2.597576, 14.928100, 1.855353, 3.316431, 22.153625, 40.943413, 0.000000, 0.000000, 40.576797, 0, 0, 99.999992
13:20:30, 0x40, 0x2, 0.057307, 0.000000, 1.000000, 0.000000, 133.410446, -1.825207, 22.509048, 754.194946, 3.213483, 2.386844, 31671.976563, 3.209609, 49.612728, -0.520319, 47.557114, -0.005418, -4.050976, 14.928100, 1.855353, 3.316431, 22.153625, 40.943413, 0.000000, 0.000000, 40.576797, 0, 0, 99.999992
13:20:30, 0x40, 0x2, 0.057057, 0.000000, 1.000000, 0.000000, 133.403931, -2.737552, 22.488506, 753.506714, 3.193384, 2.351743, 31671.976563, 3.209609, 49.569397, -0.508875, 47.256618, 0.000536, -4.064047, 14.928100, 1.855353, 3.316431, 22.153625, 40.943413, 0.000000, 0.000000, 40.576797, 0, 0, 99.999992
13:20:30, 0x40, 0x2, 0.057307, 0.000000, 1.000000, 0.000000, 133.280396, -2.165651, 22.452150, 752.288574, 3.201789, 2.343750, 31671.976563, 3.209609, 49.487827, -0.535279, 47.245739, -0.005633, -4.044932, 14.928100, 1.855353, 3.316431, 22.153625, 40.943413, 0.000000, 0.000000, 40.576797, 0, 0, 99.999992
13:20:30, 0x40, 0x2, 0.058559, 0.000000, 1.000000, 0.000000, 133.579483, -1.991987, 22.408674, 750.831848, 3.200108, 2.336866, 31694.482422, 3.209198, 49.389927, -0.558734, 47.249138, -0.016075, -4.067892, 14.926727, 1.855520, 3.316183, 22.153625, 40.943413, 0.000000, 0.000000, 40.588104, 0, 0, 99.999992
13:20:31, 0x40, 0x2, 0.057307, 0.000000, 1.000000, 0.000000, 133.402618, -2.806538, 22.370907, 749.566345, 3.209317, 2.376705, 31694.482422, 3.209198, 49.308895, -0.541031, 46.886501, -0.003237, -4.088187, 14.926727, 1.855520, 3.316183, 22.153625, 40.943413, 0.000000, 0.000000, 40.588104, 0, 0, 99.999992
